region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr9:117571292-117571293,intergenic|chr9:117570679-117571634,intergenic,LOC100505478,117444369,,126787.5,False,0.020643,Karpas-422-ENCODE,IBD,Mid
chr9:117571292-117571293,intergenic|chr9:117570679-117571634,intergenic,TNFSF8,117692875,,121718.5,False,0.022155,Karpas-422-ENCODE,IBD,Mid
chr9:117571292-117571293,intergenic|chr9:117570679-117571634,intergenic,TNFSF15,117568408,,2748.5,False,0.119717,Karpas-422-ENCODE,IBD,High
chr9:117571293-117571294,intergenic|chr9:117570679-117571634,intergenic,LOC100505478,117444369,,126787.5,False,0.020643,Karpas-422-ENCODE,IBD,Mid
chr9:117571293-117571294,intergenic|chr9:117570679-117571634,intergenic,TNFSF15,117568408,,2748.5,False,0.119717,Karpas-422-ENCODE,IBD,High
chr9:117571293-117571294,intergenic|chr9:117570679-117571634,intergenic,TNFSF8,117692875,,121718.5,False,0.022155,Karpas-422-ENCODE,IBD,Mid
chr21:34769620-34769621,intergenic|chr21:34769107-34769781,intergenic,IFNGR2,34775201,,5757.0,False,0.016306,astrocyte-ENCODE,IBD,Low
chr21:34769620-34769621,intergenic|chr21:34769112-34769776,intergenic,IFNGR2,34775201,,5757.0,False,0.023032,MCF10A_treated_with_TAM24hr-Ji2017,IBD,Mid
chr21:34769620-34769621,intergenic|chr21:34769216-34769797,intergenic,IFNAR2,34602199,,167307.5,False,0.016023,osteoblast-ENCODE,IBD,Low
chr21:34769620-34769621,intergenic|chr21:34769216-34769797,intergenic,IL10RB-AS1,34638565,,130941.5,False,0.015196,osteoblast-ENCODE,IBD,Low
chr21:34769620-34769621,intergenic|chr21:34769216-34769797,intergenic,IL10RB,34638664,,130842.5,False,0.015195,osteoblast-ENCODE,IBD,Low
chr21:34769620-34769621,intergenic|chr21:34769216-34769797,intergenic,IFNAR1,34697213,,72293.5,False,0.020026,osteoblast-ENCODE,IBD,Low
chr21:34769620-34769621,intergenic|chr21:34769216-34769797,intergenic,IFNGR2,34775201,,5694.5,False,0.049132,osteoblast-ENCODE,IBD,High
chr10:101283329-101283330,intergenic|chr10:101281092-101283647,intergenic,LINC01475,101290934,,8564.5,False,0.065772,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,IBD,High
chr10:101283329-101283330,intergenic|chr10:101281092-101283647,intergenic,GOT1,101190530,,91839.5,False,0.022138,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101281251-101283484,intergenic,NKX2-3,101292689,,10321.5,False,0.042323,H9-Roadmap,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101282271-101283831,intergenic,LINC01475,101290934,,7883.0,False,0.029613,H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101282478-101283611,intergenic,NKX2-3,101292689,,9644.5,False,0.024266,H1-hESC-Roadmap,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101282513-101283599,intergenic,NKX2-3,101292689,,9633.0,False,0.059359,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,IBD,High
chr10:101283329-101283330,intergenic|chr10:101282513-101283599,intergenic,LINC01475,101290934,,7878.0,False,0.059308,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,IBD,High
chr10:101283329-101283330,intergenic|chr10:101282513-101283599,intergenic,GOT1,101190530,,92526.0,False,0.02322,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101282668-101283553,intergenic,ENTPD7,101419262,,136151.5,False,0.021042,spleen-ENCODE,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101282668-101283553,intergenic,GOT1,101190530,,92580.5,False,0.037415,spleen-ENCODE,IBD,Mid
chr10:101283329-101283330,intergenic|chr10:101282668-101283553,intergenic,LINC01475,101290934,,7823.5,False,0.087501,spleen-ENCODE,IBD,High
chr10:101283329-101283330,intergenic|chr10:101282668-101283553,intergenic,NKX2-3,101292689,,9578.5,False,0.087573,spleen-ENCODE,IBD,High
chr10:101283329-101283330,intergenic|chr10:101282668-101283553,intergenic,SLC25A28,101380221,,97110.5,False,0.019835,spleen-ENCODE,IBD,Low
chr10:101283329-101283330,intergenic|chr10:101282848-101283616,intergenic,GOT1,101190530,,92702.0,False,0.015105,transverse_colon-ENCODE,IBD,Low
chr10:101283329-101283330,intergenic|chr10:101282848-101283616,intergenic,LINC01475,101290934,,7702.0,False,0.045339,transverse_colon-ENCODE,IBD,High
