region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr11:76299648-76299649,intergenic|chr11:76299374-76299874,intergenic,LRRC32,76381044,,81420.0,False,0.023815,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr1:78444763-78444764,promoter|chr1:78444246-78445373,promoter,NEXN-AS1,78355224,,89585.5,False,0.114665,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr1:78444763-78444764,promoter|chr1:78444246-78445373,promoter,DNAJB4,78444841,,31.5,True,0.481118,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr1:78444763-78444764,promoter|chr1:78444246-78445373,promoter,FUBP1,78444889,,79.5,True,0.481119,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr1:78444763-78444764,promoter|chr1:78444246-78445373,promoter,NEXN,78354199,,90610.5,False,0.125502,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr18:46395314-46395315,intergenic|chr18:46394758-46395951,intergenic,DYM,46987079,,591724.5,False,0.018931,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394758-46395951,intergenic,SMAD7,46477081,,81726.5,False,0.023299,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394758-46395951,intergenic,ZBTB7C,45663680,,731674.5,False,0.015235,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr7:50321473-50321474,intergenic|chr7:50321164-50321934,intergenic,COBL,51384558,,1063009.0,False,0.0158,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr7:50321473-50321474,intergenic|chr7:50321164-50321934,intergenic,FIGNL1,50518104,,196555.0,False,0.018809,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34775720-34775721,promoter|chr21:34774157-34775973,promoter,IFNGR2,34775201,,136.0,True,0.18736,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr10:6099044-6099045,genic|chr10:6098862-6099520,genic,IL2RA,6104333,,5142.0,False,0.022844,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr22:39660828-39660829,intergenic|chr22:39660381-39661187,intergenic,PDGFB,39641060,,19724.0,False,0.044084,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,High
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,IFNAR2,34602199,,174637.0,False,0.030166,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,OLIG1,34442449,,334387.0,False,0.023239,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,C21orf62-AS1,34144410,,632426.0,False,0.019019,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,IL10RB-AS1,34638565,,138271.0,False,0.030722,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,PAXBP1,34144169,,632667.0,False,0.019019,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,C21orf59,33984918,,791918.0,False,0.017473,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
chr21:34776694-34776695,genic|chr21:34776166-34777506,genic,EVA1C,33784744,,992092.0,False,0.01933,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,IBD,Low
