region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr16:30482493-30482494,intergenic|chr16:30482327-30483471,intergenic,ZNF768,30537910,,55011.0,False,0.018311,GM12878-Roadmap,IBD,Low
chr16:30482493-30482494,intergenic|chr16:30482327-30483471,intergenic,DCTPP1,30441373,,41526.0,False,0.017598,GM12878-Roadmap,IBD,Low
chr16:30482493-30482494,intergenic|chr16:30482327-30483471,intergenic,ITGAL,30483982,,1083.0,False,0.106962,GM12878-Roadmap,IBD,High
chr16:30482493-30482494,intergenic|chr16:30482327-30483471,intergenic,SEPHS2,30457296,,25603.0,False,0.024925,GM12878-Roadmap,IBD,Mid
chr1:200878726-200878727,genic|chr1:200878190-200879461,genic,C1orf106,200860626,,18199.5,False,0.019917,GM12878-Roadmap,IBD,Low
chr1:114423652-114423653,genic|chr1:114423119-114423922,genic,DCLRE1B,114447914,,24393.5,False,0.015777,GM12878-Roadmap,IBD,Low
chr1:114423652-114423653,genic|chr1:114423119-114423922,genic,BCL2L15,114430169,,6648.5,False,0.040445,GM12878-Roadmap,IBD,Mid
chr1:114423652-114423653,genic|chr1:114423119-114423922,genic,AP4B1,114447746,,24225.5,False,0.015776,GM12878-Roadmap,IBD,Low
chr1:114423652-114423653,genic|chr1:114423119-114423922,genic,PTPN22,114414381,,9139.5,False,0.028204,GM12878-Roadmap,IBD,Mid
chr16:30482539-30482540,intergenic|chr16:30482327-30483471,intergenic,ZNF768,30537910,,55011.0,False,0.018311,GM12878-Roadmap,IBD,Low
chr16:30482539-30482540,intergenic|chr16:30482327-30483471,intergenic,DCTPP1,30441373,,41526.0,False,0.017598,GM12878-Roadmap,IBD,Low
chr16:30482539-30482540,intergenic|chr16:30482327-30483471,intergenic,SEPHS2,30457296,,25603.0,False,0.024925,GM12878-Roadmap,IBD,Mid
chr16:30482539-30482540,intergenic|chr16:30482327-30483471,intergenic,ITGAL,30483982,,1083.0,False,0.106962,GM12878-Roadmap,IBD,High
chr16:30482802-30482803,intergenic|chr16:30482327-30483471,intergenic,DCTPP1,30441373,,41526.0,False,0.017598,GM12878-Roadmap,IBD,Low
chr16:30482802-30482803,intergenic|chr16:30482327-30483471,intergenic,SEPHS2,30457296,,25603.0,False,0.024925,GM12878-Roadmap,IBD,Mid
chr16:30482802-30482803,intergenic|chr16:30482327-30483471,intergenic,ZNF768,30537910,,55011.0,False,0.018311,GM12878-Roadmap,IBD,Low
chr16:30482802-30482803,intergenic|chr16:30482327-30483471,intergenic,ITGAL,30483982,,1083.0,False,0.106962,GM12878-Roadmap,IBD,High
